circuit_name,circuitId,compound,air_temp,track_temp,base_time,degradation_rate
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,74.982675,0.04667794117647041
Dutch Grand Prix,13,MEDIUM,16.791866028708135,24.94114832535885,78.18468414918415,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,75.57396739130434,0.015882608695651865
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,80.13019999999999,0.0
Dutch Grand Prix,13,MEDIUM,16.791866028708135,24.94114832535885,77.87518461538461,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,74.69953333333333,0.02386666666666548
Dutch Grand Prix,13,MEDIUM,16.791866028708135,24.94114832535885,78.02272608695652,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,74.92212727272727,0.04200909090909153
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,83.83619999999998,0.0
Dutch Grand Prix,13,MEDIUM,16.791866028708135,24.94114832535885,78.56936153846154,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,74.73713333333333,0.09841212121212164
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,77.00387094252298,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,78.45952721088436,0.0
Dutch Grand Prix,13,MEDIUM,16.791866028708135,24.94114832535885,76.30660869565219,0.0006847826086957548
Dutch Grand Prix,13,HARD,16.791866028708135,24.94114832535885,78.17659820549295,0.0
Dutch Grand Prix,13,MEDIUM,16.791866028708135,24.94114832535885,78.21596250246694,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,76.02590952380952,0.0
Dutch Grand Prix,13,SOFT,16.791866028708135,24.94114832535885,77.80980736230279,0.0002648768336562459
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.09802857142856,0.06847593984962425
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,85.22693563218392,0.050976195773081164
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.68771428571429,0.036342857142856906
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,85.74915763546798,0.016504433497537038
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.02968421052631,0.08478224974200192
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,85.50595483870967,0.04328911290322567
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.36981052631579,0.051529824561403564
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,85.62769655172414,0.036245383759732866
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.78347953216372,0.022289989680082525
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,86.25928669354838,0.004117338709677389
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,86.96608923076923,0.01988692307692286
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.32965217391305,0.0
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,87.67949670329668,0.0
Italian Grand Prix,14,HARD,29.330128205128204,42.928205128205136,86.67010168067227,0.01405910364145658
Italian Grand Prix,14,MEDIUM,29.330128205128204,42.928205128205136,86.91274736842105,0.03190977443609004
